time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-04-29T22:28:23.040Z,42.709,43.858,10,4.7,mb,,,,1.1,us,usp0004r11,2022-04-28T19:20:25.307Z,"22 km SW of Mizur, Russia",earthquake,,,,22,reviewed,us,us
1991-04-29T21:24:09.370Z,42.205,43.676,10,4.5,mb,,,,1.4,us,usp0004r0x,2014-11-07T00:48:28.361Z,"22 km NNW of Agara, Georgia",earthquake,,,,15,reviewed,us,us
1991-04-29T20:32:54.210Z,42.541,43.333,10,5.4,mb,,,,1.1,us,usp0004r0u,2022-04-28T19:20:24.206Z,"9 km WSW of Oni, Georgia",earthquake,,,,81,reviewed,us,us
1991-04-29T20:24:43.160Z,42.557,43.809,10,4.7,mb,,,,1.2,us,usp0004r0t,2022-04-28T19:20:23.117Z,"20 km NNW of Java, Georgia",earthquake,,,,33,reviewed,us,us
1991-04-29T20:19:48.620Z,42.705,43.308,10,3.8,mb,,,,0.4,us,usp0004r0s,2014-11-07T00:48:28.298Z,"17 km NW of Oni, Georgia",earthquake,,,,4,reviewed,us,us
1991-04-29T20:11:59.750Z,41.834,44.606,10,4.3,mb,,,,1.2,us,usp0004r0r,2014-11-07T00:48:28.295Z,"1 km SSE of Dzegvi, Georgia",earthquake,,,,6,reviewed,us,us
1991-04-29T19:44:54.770Z,42.585,43.966,10,4.5,mb,,,,1.3,us,usp0004r0q,2014-11-07T00:48:28.290Z,"20 km N of Java, Georgia",earthquake,,,,18,reviewed,us,us
1991-04-29T19:19:57.820Z,43.065,44.03,10,4.4,mb,,,,1.3,us,usp0004r0n,2014-11-07T00:48:28.283Z,"14 km SW of Digora, Russia",earthquake,,,,9,reviewed,us,us
1991-04-29T19:07:03.750Z,42.494,43.69,10,4.5,mb,,,,1.3,us,usp0004r0m,2014-11-07T00:48:28.278Z,Russia-Georgia border region,earthquake,,,,22,reviewed,us,us
1991-04-29T18:30:41.520Z,42.503,43.899,14.3,6.1,mw,,,,1,us,usp0004r0h,2022-04-28T19:20:22.034Z,"11 km NNW of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-04-29T18:23:15.290Z,42.583,43.764,10,5.5,mb,,,,1.3,us,usp0004r0f,2022-04-28T19:20:20.883Z,"24 km NW of Java, Georgia",earthquake,,,,85,reviewed,us,us
1991-04-29T17:55:00.280Z,42.774,44.029,10,4.4,mb,,,,1.2,us,usp0004r0c,2014-11-07T00:48:28.183Z,"8 km SSW of Mizur, Russia",earthquake,,,,11,reviewed,us,us
1991-04-29T17:21:29.310Z,42.934,43.881,10,4.3,mb,,,,1.5,us,usp0004r0b,2014-11-07T00:48:28.181Z,"16 km WNW of Mizur, Russia",earthquake,,,,5,reviewed,us,us
1991-04-29T17:10:27.240Z,42.224,43.409,10,4.6,mb,,,,0.3,us,usp0004r0a,2014-11-07T00:48:28.179Z,"12 km SE of Chiat’ura, Georgia",earthquake,,,,8,reviewed,us,us
1991-04-29T16:58:50.720Z,42.756,43.556,10,4,mb,,,,1.1,us,usp0004r09,2014-11-07T00:48:28.178Z,"21 km NNE of Oni, Georgia",earthquake,,,,3,reviewed,us,us
1991-04-29T16:49:57.850Z,42.854,44.062,10,4.5,mb,,,,1.2,us,usp0004r07,2014-11-07T00:48:28.168Z,"0 km ENE of Mizur, Russia",earthquake,,,,7,reviewed,us,us
1991-04-29T16:48:42.990Z,43.057,44.399,10,4.3,mb,,,,1.1,us,usp0004r06,2014-11-07T00:48:28.164Z,"10 km WSW of Arkhonskaya, Russia",earthquake,,,,6,reviewed,us,us
1991-04-29T15:28:45.740Z,42.405,43.448,10,4.3,mb,,,,1,us,usp0004r02,2014-11-07T00:48:28.152Z,Russia-Georgia border region,earthquake,,,,5,reviewed,us,us
1991-04-29T14:43:06.360Z,42.515,43.937,10,5.4,mb,,,,1.1,us,usp0004r00,2022-04-28T19:20:14.320Z,Russia-Georgia border region,earthquake,,,,79,reviewed,us,us
1991-04-29T13:49:58.380Z,42.542,43.337,10,4.6,mb,,,,1.1,us,usp0004qzy,2014-11-07T00:48:28.119Z,"9 km WSW of Oni, Georgia",earthquake,,,,18,reviewed,us,us
1991-04-29T13:27:09.300Z,41.643,44.044,10,4.2,mb,,,,1.1,us,usp0004qzx,2014-11-07T00:48:28.117Z,"6 km NW of Ts’alk’a, Georgia",earthquake,,,,6,reviewed,us,us
1991-04-29T13:12:41.700Z,42.602,42.897,10,3.8,mb,,,,0.8,us,usp0004qzu,2014-11-07T00:48:28.113Z,"23 km WNW of Ambrolauri, Georgia",earthquake,,,,4,reviewed,us,us
1991-04-29T11:59:54.830Z,42.625,43.962,10,4.5,mb,,,,1.2,us,usp0004qzr,2014-11-07T00:48:28.101Z,"25 km N of Java, Georgia",earthquake,,,,23,reviewed,us,us
1991-04-29T11:51:10.320Z,42.572,43.816,10,4.9,ms,,,,1.1,us,usp0004qzq,2022-04-28T19:20:13.030Z,Russia-Georgia border region,earthquake,,,,1,reviewed,us,us
1991-04-29T11:10:11.950Z,42.584,43.904,10,4.7,mb,,,,1,us,usp0004qzn,2022-04-28T19:20:07.105Z,"20 km N of Java, Georgia",earthquake,,,,17,reviewed,us,us
1991-04-29T11:04:28.920Z,42.51,43.816,10,4.3,mb,,,,1,us,usp0004qzm,2014-11-07T00:48:28.080Z,"15 km NW of Java, Georgia",earthquake,,,,8,reviewed,us,us
1991-04-29T10:52:42.260Z,42.712,44.102,10,4.6,mb,,,,1.2,us,usp0004qzk,2014-11-07T00:48:28.075Z,Russia-Georgia border region,earthquake,,,,19,reviewed,us,us
1991-04-29T10:30:45.580Z,43.245,42.644,10,4.3,mb,,,,0.8,us,usp0004qzj,2014-11-07T00:48:28.073Z,"1 km S of El’brus, Russia",earthquake,,,,6,reviewed,us,us
