time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1993-02-22T04:24:20.690Z,42.558,43.862,10,5,mb,,,,1,us,usp0005nfs,2022-04-28T18:21:04.923Z,"18 km NNW of Java, Georgia",earthquake,,,,53,reviewed,us,us
1993-02-12T19:26:07.230Z,40.088,40.682,10,3.2,mb,,,,1.2,us,usp0005mzu,2014-11-07T00:52:23.825Z,"18 km N of A?kale, Turkey",earthquake,,,,2,reviewed,us,us
1993-01-17T09:47:52.490Z,40.609,41.684,33,4.3,mb,,,,1.1,us,usp0005kvs,2014-11-07T00:52:14.735Z,"14 km NE of Uzundere, Turkey",earthquake,,,,2,reviewed,us,us
1993-01-07T10:12:02.200Z,40.366,42.215,10,4.4,mb,,,,1,us,usp0005kdt,2014-11-07T00:52:12.136Z,"23 km SSW of ?enkaya, Turkey",earthquake,,,,4,reviewed,us,us
1992-12-28T17:57:03.650Z,42.383,43.525,10,4.4,mb,,,,1.1,us,usp0005k00,2014-11-07T00:52:06.050Z,"9 km ENE of Sach’khere, Georgia",earthquake,,,,11,reviewed,us,us
1992-12-11T11:37:39.030Z,42.423,43.53,33,4.2,mb,,,,0.9,us,usp0005j3m,2014-11-07T00:52:01.826Z,"12 km NE of Sach’khere, Georgia",earthquake,,,,15,reviewed,us,us
1992-12-09T20:29:47.190Z,40.058,45.312,15.8,4.8,mb,,,,1.2,us,usp0005j1h,2020-08-29T01:59:22.093Z,"5 km ESE of Madina, Armenia",earthquake,,,,51,reviewed,us,us
1992-12-08T05:34:26.570Z,40.264,45.469,33,4.2,mb,,,,1,us,usp0005hyr,2014-11-07T00:52:00.996Z,"11 km N of Tsovinar, Armenia",earthquake,,,,6,reviewed,us,us
1992-11-05T15:42:26.930Z,42.284,44.794,40.4,4.5,mb,,,,1,us,usp0005gbh,2014-11-07T00:51:49.042Z,"11 km SE of Pasanauri, Georgia",earthquake,,7.5,,17,reviewed,us,us
1992-10-24T00:46:53.170Z,42.428,44.865,33,3.5,mb,,,,1.5,us,usp0005fth,2014-11-07T00:51:42.871Z,"16 km ENE of Pasanauri, Georgia",earthquake,,,,3,reviewed,us,us
1992-10-24T00:14:40.260Z,42.485,44.931,33,4.6,mb,,,,1.3,us,usp0005fte,2014-11-07T00:51:42.863Z,"24 km NE of Pasanauri, Georgia",earthquake,,,,11,reviewed,us,us
1992-10-23T23:19:45.200Z,42.589,45.104,16.4,6.4,mw,,,,1,us,usp0005ftd,2022-04-28T18:33:59.208Z,"38 km ESE of St’epants’minda, Georgia",earthquake,,,,,reviewed,us,hrv
1992-09-25T15:53:51.570Z,42.605,45.861,33,3.7,mb,,,,1.1,us,usp0005ege,2014-11-07T00:51:30.745Z,"22 km WNW of Agvali, Russia",earthquake,,,,2,reviewed,us,us
1992-08-21T19:11:07.870Z,42.444,43.26,33,4.5,mb,,,,1.1,us,usp0005cuw,2014-11-07T00:51:17.802Z,"11 km SE of Ambrolauri, Georgia",earthquake,,4.2,,39,reviewed,us,us
1992-08-21T04:43:24.360Z,43.863,39.454,25.3,4.3,mb,,,,1.1,us,usp0005ctv,2014-11-07T00:51:17.714Z,"11 km ESE of Lazarevskoye, Russia",earthquake,,6.8,,15,reviewed,us,us
1992-08-06T17:53:09.110Z,40.07,48.865,57,4.2,mb,,,,1.3,us,usp0005c2u,2014-11-07T00:51:14.072Z,"5 km SE of Mughan, Azerbaijan",earthquake,,9.8,,4,reviewed,us,us
1992-07-14T18:46:22.730Z,39.178,41.722,10,4.5,mb,,,,1.4,us,usp0005aus,2014-11-07T00:51:04.109Z,"20 km S of H?n?s, Turkey",earthquake,,,,19,reviewed,us,us
1992-07-14T04:26:26.630Z,39.255,41.754,18.1,4.5,mb,,,,1.3,us,usp0005atm,2020-08-29T01:40:55.076Z,"12 km SSE of H?n?s, Turkey",earthquake,,,,33,reviewed,us,us
1992-05-23T01:16:47.220Z,39.214,40.513,10,3.8,m,,,,0.9,us,usp00057xy,2014-11-07T00:50:40.792Z,"24 km S of Yedisu, Turkey",earthquake,,,,,reviewed,us,dda
1992-05-20T13:44:07.830Z,39.83,40.128,10,3.1,m,,,,1.7,us,usp00057rz,2014-11-07T00:50:40.030Z,eastern Turkey,earthquake,,,,,reviewed,us,dda
1992-05-14T14:33:05.210Z,40.908,40.38,10,3.6,mb,,,,0.6,us,usp00057bn,2014-11-07T00:50:37.439Z,"2 km NNE of Hayrat, Turkey",earthquake,,,,1,reviewed,us,us
1992-04-28T07:16:27.770Z,39.606,39.915,10,4.2,mb,,,,1.1,us,usp00056kr,2014-11-07T00:50:30.655Z,"13 km N of Pulumer, Turkey",earthquake,,,,9,reviewed,us,us
1992-04-22T03:03:52.030Z,39.532,39.718,29.3,4.5,mb,,,,1.1,us,usp000564f,2014-11-07T00:50:28.650Z,"16 km WNW of Pulumer, Turkey",earthquake,,6.4,,35,reviewed,us,us
1992-04-20T18:04:59.040Z,39.537,39.859,14.3,4.6,mb,,,,1.2,us,usp0005629,2020-08-29T01:25:41.366Z,"6 km NNW of Pulumer, Turkey",earthquake,,,,34,reviewed,us,us
1992-04-19T10:14:35.840Z,39.51,39.633,10,4.4,mb,,,,1.3,us,usp000560a,2014-11-07T00:50:28.168Z,"22 km WNW of Turluk, Turkey",earthquake,,,,17,reviewed,us,us
1992-03-29T09:26:20.100Z,39.443,39.647,10,4.2,mb,,,,1,us,usp000550f,2014-11-07T00:50:19.821Z,"19 km W of Turluk, Turkey",earthquake,,,,5,reviewed,us,us
1992-03-27T19:21:04.880Z,42.466,43.725,33,4.8,mb,,,,1.2,us,usp00054xr,2022-04-28T18:53:20.217Z,"18 km WNW of Java, Georgia",earthquake,,,,39,reviewed,us,us
1992-03-26T02:32:49.330Z,42.208,43.554,33,3.6,mb,,,,1.1,us,usp00054uq,2014-11-07T00:50:19.044Z,"18 km SE of Sach’khere, Georgia",earthquake,,,,3,reviewed,us,us
1992-03-25T03:58:26.200Z,39.749,39.622,10,3.5,mb,,,,0.8,us,usp00054t3,2014-11-07T00:50:18.638Z,"8 km WNW of Cimin, Turkey",earthquake,,,,2,reviewed,us,us
1992-03-21T23:15:50.290Z,39.602,39.87,15,4.7,mb,,,,1.3,us,usp00054n9,2014-11-07T00:50:18.065Z,"13 km N of Pulumer, Turkey",earthquake,,,,44,reviewed,us,us
1992-03-19T19:16:39.050Z,43.023,45.754,33,4.4,mb,,,,1.2,us,usp00054h5,2014-11-07T00:50:17.497Z,"2 km SE of Duba-Yurt, Russia",earthquake,,,,32,reviewed,us,us
1992-03-15T16:16:24.240Z,39.532,39.929,20.9,5.9,mw,,,,1.2,us,usp00054a3,2022-04-28T18:52:18.766Z,"6 km NNE of Pulumer, Turkey",earthquake,,,,,reviewed,us,hrv
1992-03-14T01:24:33.710Z,39.527,39.701,22,4.7,mb,,,,1.2,us,usp000547w,2014-11-07T00:50:15.863Z,"17 km WNW of Pulumer, Turkey",earthquake,,,,26,reviewed,us,us
1992-03-13T22:47:42.880Z,40.021,39.744,10,4.7,mb,,,,1.2,us,usp000547u,2014-11-07T00:50:15.854Z,"19 km SW of Demirözü, Turkey",earthquake,,,,26,reviewed,us,us
1992-03-13T20:15:18.170Z,39.433,39.914,10,4.5,mb,,,,1.2,us,usp000547r,2014-11-07T00:50:15.848Z,"3 km ESE of Turluk, Turkey",earthquake,,,,2,reviewed,us,us
1992-03-13T18:37:53.800Z,39.843,39.52,10,4.7,mb,,,,1,us,usp000547k,2022-04-28T18:52:11.951Z,"11 km NNE of Erzincan, Turkey",earthquake,,,,38,reviewed,us,us
1992-03-13T17:18:39.980Z,39.71,39.605,27.2,6.7,mwb,,,,1.1,us,usp000547c,2022-04-28T18:52:09.822Z,"8 km W of Cimin, Turkey",earthquake,,,,,reviewed,us,us
1992-03-11T02:26:06.760Z,42.575,46.391,33,4.3,mb,,,,1.6,us,usp000543p,2014-11-07T00:50:15.251Z,"4 km ESE of Karata, Russia",earthquake,,,,12,reviewed,us,us
1992-02-18T01:39:40.920Z,41.477,43.464,33,4.5,mb,,,,1.5,us,usp000536w,2014-11-07T00:50:06.862Z,"8 km NNW of Akhalk’alak’i, Georgia",earthquake,,,,2,reviewed,us,us
1992-02-15T15:18:04.240Z,41.434,46.184,33,4.2,mb,,,,1,us,usp0005345,2014-11-07T00:50:06.077Z,"27 km SE of Ts’nori, Georgia",earthquake,,,,6,reviewed,us,us
1992-02-15T13:37:40.170Z,42.934,46.548,33,4.2,mb,,,,1.2,us,usp0005340,2014-11-07T00:50:06.065Z,"9 km SW of Burtunay, Russia",earthquake,,,,12,reviewed,us,us
1992-02-15T13:30:32.020Z,42.462,46.493,33,4,mb,,,,1.7,us,usp000533z,2014-11-07T00:50:06.062Z,"5 km WNW of Khebda, Russia",earthquake,,,,6,reviewed,us,us
1992-02-15T12:52:51.770Z,42.803,46.524,15.2,4.9,mb,,,,1.6,us,usp000533x,2022-04-28T18:55:05.806Z,"17 km WNW of Ashil’ta, Russia",earthquake,,,,44,reviewed,us,us
1992-01-27T08:11:36.050Z,42.359,44.044,33,3.7,mb,,,,1.6,us,usp00052a9,2014-11-07T00:49:57.170Z,"9 km ESE of Java, Georgia",earthquake,,,,4,reviewed,us,us
1991-11-12T20:35:59.670Z,39.306,44.936,33,4.3,mb,,,,1.6,us,usp0004z2u,2014-11-07T00:49:34.356Z,"27 km S of Sharur City, Azerbaijan",earthquake,,,,4,reviewed,us,us
1991-10-26T21:41:05.300Z,43.861,39.507,33,4,mb,,,,1.3,us,usp0004yeq,2014-11-07T00:49:27.780Z,"14 km NNW of Vardane, Russia",earthquake,,,,3,reviewed,us,us
1991-10-21T11:58:19.310Z,41.982,46.746,33,4.5,mb,,,,1.3,us,usp0004y49,2014-11-07T00:49:25.976Z,"29 km SSW of Tsurib, Russia",earthquake,,,,10,reviewed,us,us
1991-10-18T16:23:44.350Z,41.642,47.638,33,4.5,mb,,,,1.2,us,usp0004xzp,2014-11-07T00:49:25.187Z,"13 km WNW of Kurakh, Russia",earthquake,,,,10,reviewed,us,us
1991-10-10T02:44:49.640Z,41.399,43.259,10,4.4,mb,,,,1.1,us,usp0004xm0,2014-11-07T00:49:23.151Z,"19 km W of Akhalk’alak’i, Georgia",earthquake,,,,3,reviewed,us,us
1991-10-06T01:46:47.580Z,41.096,43.409,18.3,5.1,mw,,,,1.1,us,usp0004xex,2022-04-28T19:00:37.380Z,"24 km SW of Ninotsminda, Georgia",earthquake,,,,,reviewed,us,hrv
1991-09-05T19:23:04.800Z,38.847,41.417,10,4.3,mb,,,,1.3,us,usp0004w9j,2014-11-07T00:49:13.705Z,"14 km NNW of Mu?, Turkey",earthquake,,,,13,reviewed,us,us
1991-08-10T08:57:51.870Z,40.052,42.153,10,4.4,mb,,,,0.9,us,usp0004v6g,2014-11-07T00:49:04.597Z,"1 km NNW of Horasan, Turkey",earthquake,,,,3,reviewed,us,us
1991-07-11T05:58:18.820Z,41.955,43.578,33,4,mb,,,,1.5,us,usp0004u09,2014-11-07T00:48:53.627Z,"4 km SSW of Khashuri, Georgia",earthquake,,,,3,reviewed,us,us
1991-07-04T06:26:31.860Z,42.387,44.116,20.4,5.4,mw,,,,1.3,us,usp0004ts1,2022-04-28T19:06:36.339Z,"14 km E of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-06-30T20:09:18.370Z,42.424,43.688,10,4.5,mb,,,,1,us,usp0004tm3,2014-11-07T00:48:47.948Z,"20 km W of Java, Georgia",earthquake,,,,15,reviewed,us,us
1991-06-19T06:40:28.950Z,40.282,42.971,33,4.6,mb,,,,1.2,us,usp0004t56,2014-11-07T00:48:45.897Z,"19 km NW of Ka??zman, Turkey",earthquake,,,,9,reviewed,us,us
1991-06-17T03:04:45.510Z,42.252,44.222,10,4.5,ms,,,,1.6,us,usp0004t20,2014-11-07T00:48:45.567Z,"21 km E of Ts’khinvali, Georgia",earthquake,,,,1,reviewed,us,us
1991-06-16T11:07:10.690Z,39.984,42.875,25.6,4.6,mb,,,,1.3,us,usp0004t17,2020-08-29T00:50:40.430Z,"26 km NE of Ele?kirt, Turkey",earthquake,,,,19,reviewed,us,us
1991-06-15T00:59:20.310Z,42.461,44.009,9.4,6.3,mw,,,,1.2,us,usp0004sxm,2022-04-28T19:10:00.925Z,"9 km NE of Java, Georgia",earthquake,,,,,reviewed,us,hrv
1991-06-08T01:12:01.860Z,41.005,43.563,33,4.2,mb,,,,1.3,us,usp0004snj,2014-11-07T00:48:43.531Z,"19 km WNW of Amasia, Armenia",earthquake,,,,6,reviewed,us,us
1991-06-04T00:55:16.380Z,40.6,42.989,10,3.7,mb,,,,0.9,us,usp0004sfw,2014-11-07T00:48:41.916Z,"8 km W of Kars, Turkey",earthquake,,,,2,reviewed,us,us
